,milage,action,milage_bin,next_milage_bin
747,24,0,1,1
748,27,0,1,1
749,33,0,1,1
750,44,0,1,2
751,52,0,2,2
752,65,0,2,3
753,75,0,3,3
754,83,0,3,4
755,95,0,4,0
757,9,0,0,1
758,26,0,1,1
759,40,0,1,2
760,50,0,2,3
761,68,0,3,3
762,73,0,3,3
763,84,0,3,4
764,102,0,4,4
765,109,0,4,5
766,123,0,5,5
767,132,0,5,6
768,146,0,6,6
769,154,0,6,0
771,4,0,0,0
772,18,0,0,1
773,36,0,1,1
774,44,0,1,2
775,48,0,2,2
776,58,0,2,0
778,16,0,0,1
779,27,0,1,1
780,33,0,1,1
781,41,0,1,2
782,56,0,2,2
783,64,0,2,3
784,74,0,3,3
785,85,0,3,4
786,94,0,4,4
787,98,0,4,5
788,113,0,5,5
789,116,0,5,6
790,133,0,6,6
791,142,0,6,6
792,149,0,6,7
793,163,0,7,7
794,171,0,7,0
796,6,0,0,0
797,8,0,0,0
798,16,0,0,1
799,41,0,1,2
800,51,0,2,2
801,54,0,2,2
802,61,0,2,2
803,64,0,2,3
804,70,0,3,3
805,78,0,3,4
806,100,0,4,5
807,111,0,5,5
808,122,0,5,6
809,134,0,6,6
810,146,0,6,7
811,157,0,7,7
812,166,0,7,7
813,172,0,7,0
815,10,0,0,0
816,19,0,0,1
817,34,0,1,2
818,53,0,2,2
819,59,0,2,2
820,66,0,2,3
821,78,0,3,3
822,84,0,3,4
823,97,0,4,4
824,105,0,4,0
826,16,0,0,0
827,22,0,0,1
828,38,0,1,2
829,50,0,2,2
830,62,0,2,3
831,68,0,3,0
833,5,0,0,0
834,12,0,0,1
835,25,0,1,1
836,34,0,1,2
837,48,0,2,2
838,53,0,2,2
839,64,0,2,3
840,69,0,3,0
842,5,0,0,0
843,16,0,0,0
844,20,0,0,1
845,26,0,1,1
846,38,0,1,1
847,42,0,1,2
848,52,0,2,2
849,60,0,2,2
850,66,0,2,3
851,76,0,3,4
852,91,0,4,4
853,101,0,4,5
854,113,0,5,5
855,116,0,5,5
856,123,0,5,6
857,138,0,6,6
858,147,0,6,0
860,15,0,0,1
861,28,0,1,1
862,42,0,1,2
863,51,0,2,2
864,62,0,2,2
865,66,0,2,3
866,74,0,3,3
867,83,0,3,4
868,96,0,4,4
869,108,0,4,0
871,7,0,0,0
872,18,0,0,1
873,28,0,1,1
874,33,0,1,2
875,49,0,2,2
876,62,0,2,3
877,76,0,3,3
878,83,0,3,4
879,90,0,4,4
880,99,0,4,4
881,106,0,4,5
882,114,0,5,6
883,140,0,6,0
885,11,0,0,0
886,16,0,0,1
887,37,0,1,2
888,47,0,2,3
889,67,0,3,3
890,75,0,3,3
891,84,0,3,0
893,6,0,0,0
894,10,0,0,0
895,15,0,0,0
896,18,0,0,1
897,23,0,1,1
898,32,0,1,1
899,40,0,1,2
900,59,0,2,2
901,63,0,2,3
902,73,0,3,3
903,77,0,3,0
905,17,0,0,1
906,29,0,1,1
907,35,0,1,1
908,42,0,1,2
909,53,0,2,3
910,74,0,3,3
911,85,0,3,4
912,90,0,4,4
913,100,0,4,0
915,9,0,0,1
916,23,0,1,1
917,31,0,1,2
918,45,0,2,2
919,48,0,2,2
920,59,0,2,3
921,72,0,3,3
922,79,0,3,3
923,82,0,3,4
924,93,0,4,4
925,99,0,4,4
926,110,0,4,5
927,120,0,5,6
928,137,0,6,0
930,12,0,0,1
931,23,0,1,1
932,31,0,1,2
933,45,0,2,2
934,57,0,2,2
935,61,0,2,0
937,10,0,0,0
938,18,0,0,1
939,23,0,1,1
940,25,0,1,1
941,29,0,1,1
942,38,0,1,2
943,47,0,2,2
944,60,0,2,3
945,71,0,3,3
946,77,0,3,3
947,85,0,3,4
948,93,0,4,4
949,102,0,4,0
951,12,0,0,1
952,25,0,1,1
953,34,0,1,1
954,40,0,1,2
955,47,0,2,2
956,60,0,2,2
957,65,0,2,3
958,79,0,3,3
959,84,0,3,4
960,95,0,4,0
962,3,0,0,0
963,21,0,0,1
964,26,0,1,1
965,34,0,1,2
966,49,0,2,2
967,52,0,2,2
968,59,0,2,3
969,78,0,3,3
970,86,0,3,4
971,93,0,4,4
972,105,0,4,4
973,108,0,4,4
974,110,0,4,5
975,122,0,5,5
976,128,0,5,6
977,138,0,6,6
978,149,0,6,7
979,156,0,7,0
981,13,0,0,1
982,29,0,1,1
983,36,0,1,2
984,47,0,2,2
985,55,0,2,3
986,68,0,3,3
987,78,0,3,4
988,95,0,4,4
989,99,0,4,5
990,113,0,5,5
991,120,0,5,0
993,5,0,0,0
994,12,0,0,0
995,19,0,0,1
996,29,0,1,1
997,37,0,1,2
998,50,0,2,3
999,75,0,3,3
1000,82,0,3,4
1001,92,0,4,4
1002,100,0,4,0
1004,9,0,0,0
1005,16,0,0,0
1006,22,0,0,1
1007,28,0,1,1
1008,39,0,1,2
1009,49,0,2,2
1010,59,0,2,2
1011,61,0,2,3
1012,75,0,3,3
1013,83,0,3,4
1014,98,0,4,4
1015,105,0,4,5
1016,116,0,5,5
1017,131,0,5,0
1019,8,0,0,0
1020,16,0,0,1
1021,25,0,1,1
1022,32,0,1,1
1023,44,0,1,2
1024,61,0,2,3
1025,81,0,3,4
1026,89,0,4,4
1027,98,0,4,4
1028,106,0,4,5
1029,114,0,5,0
1031,10,0,0,0
1032,17,0,0,1
1033,36,0,1,2
1034,47,0,2,2
1035,52,0,2,2
1036,58,0,2,2
1037,63,0,2,3
